+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[590][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[196][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[146][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[587][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[210][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[577][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[381][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[864][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[840][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[353][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[204][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1954][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[878][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[434][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[345][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[740][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[264][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[425][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1117][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[489][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[286][1]/D|
